Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
29-04-2025 09:00,ADESE,2.14,2.33,2.12,2.33,98742377.0,0.0,0.19,0.04,442.86,0.19,47892381.0,106.18,0.0,True,79.51,2025-04-29,9.91,0,,1.73,2.5,False,False
22-04-2025 09:00,ADEL,35.12,38.3,34.04,38.3,11830423.0,0.0,3.18,0.44,629.36,3.18,4199681.0,181.7,0.0,True,69.69,2025-04-22,9.3,0,,30.1,44.5,False,False
15-04-2025 09:00,ACSEL,107.2,117.9,107.2,117.9,407502.0,0.0,10.7,0.96,1014.58,10.7,146239.5,178.65,0.0,True,63.32,2025-04-15,9.98,0,,96.0,121.7,False,False
08-04-2025 09:00,AHGAZ,20.98,22.6,20.98,22.5,8539737.0,0.1,1.52,0.14,985.71,1.52,4413209.0,93.5,0.07,True,67.11,2025-04-08,8.07,0,,20.02,ATH,False,False
07-04-2025 09:00,AKFYE,15.82,17.28,15.67,17.16,10878751.0,0.12,1.34,0.09,1372.53,1.34,4071669.2,167.18,0.09,True,53.68,2025-04-07,7.25,0,,14.17,18.36,False,False
26-03-2025 09:00,AGROT,8.01,9.05,7.87,9.05,89872894.0,0.0,1.04,0.07,1475.76,1.04,36647113.9,145.24,0.0,True,50.72,2025-03-26,9.96,0,,7.35,9.83,True,True
25-03-2025 09:00,ADGYO,27.9,30.36,27.74,30.36,1955567.0,0.0,2.46,0.19,1222.58,2.46,1154120.1,69.44,0.0,True,55.57,2025-03-25,10.0,0,,26.02,31.88,False,False
14-03-2025 09:00,AKGRT,7.14,7.66,7.12,7.54,40630771.0,0.12,0.4,0.08,412.82,0.4,17985629.4,125.91,0.3,True,63.08,2025-03-14,5.45,1,7.66,6.36,7.66,True,False
12-03-2025 09:00,AKCNS,172.5,180.7,172.5,178.4,1346186.0,2.3,5.9,0.26,2169.23,5.9,604048.4,122.86,0.39,True,47.36,2025-03-12,3.84,0,,167.0,216.1,False,False
03-03-2025 09:00,AKBNK,68.25,74.0,68.2,73.0,189115602.0,1.0,4.75,0.66,614.29,4.75,90792855.8,108.29,0.21,True,73.15,2025-03-03,8.47,0,,61.6,ATH,False,False
18-02-2025 09:00,AKSA,11.3,12.01,11.17,11.95,45235377.0,0.06,0.65,0.04,1525.0,0.65,17106326.0,164.44,0.09,True,59.98,2025-02-18,3.46,2,11.17,11.17,13.34,False,False
24-01-2025 09:00,AFYON,15.45,16.01,15.33,15.9,13136022.0,0.11,0.45,0.03,1306.25,0.45,7891382.0,66.46,0.24,True,64.59,2025-01-24,3.11,1,16.01,14.71,16.01,False,False
31-12-2024 09:00,A1CAP,5.36,5.69,5.36,5.6,14605060.0,0.09,0.24,0.05,426.32,0.24,6290546.5,132.17,0.37,True,79.0,2024-12-31,4.56,1,5.69,4.78,5.69,False,False
27-12-2024 09:00,AGHOL,364.5,380.25,364.25,379.5,903848.0,0.75,15.0,0.2,7400.0,15.0,567532.4,59.26,0.05,True,64.54,2024-12-27,4.55,0,,ATL,ATH,False,False
27-12-2024 09:00,AKENR,11.07,12.16,11.04,12.16,25927201.0,0.0,1.09,0.04,2625.0,1.09,9596639.3,170.17,0.0,True,68.39,2024-12-27,9.95,0,,10.91,ATH,False,False
