Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
10-10-2025 09:00,ONCSM,130.5,142.2,129.7,142.2,2736181.0,0.0,11.7,1.76,564.77,11.7,1435153.0,90.65,0.0,True,68.97,2.61,2.04,0.57,2025-10-10,9.98,0,,112.4,ATH,False,False
10-10-2025 09:00,ARZUM,3.3,3.63,3.14,3.63,88783794.0,0.0,0.33,0.07,385.29,0.33,29884370.4,197.09,0.0,True,71.98,0.07,0.06,0.01,2025-10-10,10.0,0,,2.77,ATH,False,False
10-10-2025 09:00,DUNYH,107.0,130.6,107.0,130.6,3182785.0,0.0,23.6,0.46,4975.27,23.6,1275641.7,149.5,0.0,True,72.69,10.12,5.3,4.82,2025-10-10,9.93,0,,73.0,ATH,False,False
10-10-2025 09:00,ANHYT,90.05,97.2,89.5,97.2,2176434.0,0.0,7.15,0.52,1261.9,7.15,1042555.7,108.76,0.0,True,67.49,1.65,0.21,1.44,2025-10-10,8.18,0,,78.65,ATH,False,False
10-10-2025 09:00,OZRDN,10.5,11.5,9.98,11.4,2019790.0,0.1,0.9,0.18,405.62,0.9,834873.7,141.93,0.11,True,70.63,0.26,0.1,0.16,2025-10-10,8.88,0,,8.49,ATH,False,False
10-10-2025 09:00,ESCOM,2.98,3.25,2.96,3.25,90285240.0,0.0,0.27,0.01,2900.0,0.27,21705449.0,315.96,0.0,True,59.34,-0.04,0.01,-0.05,2025-10-10,9.8,0,,2.78,3.4,False,False
10-10-2025 09:00,NUHCM,246.2,269.0,234.0,265.75,529495.0,3.25,19.55,2.84,587.17,19.55,280651.0,88.67,0.17,True,77.05,4.65,3.97,0.68,2025-10-10,8.47,0,,210.0,ATH,False,False
10-10-2025 09:00,AYES,15.1,15.99,15.1,15.99,184942.0,0.0,0.89,0.04,2442.86,0.89,98552.7,87.66,0.0,True,59.35,-0.28,0.16,-0.45,2025-10-10,9.97,0,,14.01,19.05,True,False
10-10-2025 09:00,INFO,3.64,3.95,3.61,3.95,84467069.0,0.0,0.31,0.01,3000.0,0.31,45527041.7,85.53,0.0,True,57.91,-0.03,0.02,-0.05,2025-10-10,8.82,0,,3.36,4.04,False,False
10-10-2025 09:00,CLEBI,1547.0,1644.0,1543.0,1638.0,180369.0,6.0,91.0,7.7,1081.82,91.0,74186.6,143.13,0.07,True,59.18,-10.48,10.95,-21.43,2025-10-10,6.36,0,,1454.0,1652.0,False,False
10-10-2025 09:00,KERVN,2.41,2.71,2.41,2.71,1004487.0,0.0,0.3,0.01,2627.27,0.3,620790.2,61.81,0.0,True,49.77,-0.1,-0.0,-0.1,2025-10-10,9.72,0,,2.6,4.08,True,True
10-10-2025 09:00,YYAPI,1.99,2.16,1.96,2.14,634182210.0,0.02,0.15,0.01,1400.0,0.15,275186690.7,130.46,0.13,True,62.74,0.03,-0.0,0.03,2025-10-10,8.08,0,,1.7,2.19,False,False
09-10-2025 09:00,PEKGY,9.3,10.15,9.23,10.15,795189880.0,0.0,0.85,0.14,490.28,0.85,497526417.0,59.83,0.0,True,74.67,0.56,0.13,0.43,2025-10-09,9.97,0,,6.29,ATH,False,False
09-10-2025 09:00,SARKY,14.74,15.71,14.69,15.5,4576374.0,0.21,0.76,0.03,2351.61,0.76,2997402.2,52.68,0.28,True,69.05,0.52,-0.02,0.54,2025-10-09,5.66,0,,12.35,ATH,False,False
09-10-2025 09:00,OFSYM,64.75,68.75,64.45,67.8,1208821.0,0.95,3.05,0.36,735.62,3.05,691105.2,74.91,0.31,True,69.42,1.87,0.06,1.81,2025-10-09,5.53,0,,54.85,ATH,False,False
