Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
15-01-2025 09:00,BRKVY,50.55,55.3,50.55,55.3,3053615.0,0.0,4.75,0.57,736.27,4.75,1033090.0,195.58,True,62.68,2025-01-15,9.94,0,,47.6,62.5,False,False
15-01-2025 09:00,OSTIM,9.06,10.01,9.0,10.01,14857907.0,0.0,0.95,0.2,382.23,0.95,6486208.8,129.07,True,81.29,2025-01-15,10.0,0,,7.5,ATH,False,False
15-01-2025 09:00,YAPRK,722.5,790.0,717.0,782.0,355632.0,8.0,59.5,12.65,370.36,59.5,180360.9,97.18,True,79.92,2025-01-15,8.24,0,,445.75,ATH,False,False
14-01-2025 09:00,BEGYO,7.68,8.28,7.55,8.23,40197825.0,0.05,0.55,0.12,340.0,0.55,26524650.4,51.55,True,82.16,2025-01-14,7.3,0,,3.13,ATH,False,False
14-01-2025 09:00,VKING,30.0,34.5,29.0,33.48,292735.0,1.02,3.48,0.11,2952.63,3.48,112237.9,160.82,True,53.73,2025-01-14,6.35,0,,27.9,39.86,False,False
14-01-2025 09:00,KARTN,102.5,112.8,100.6,112.8,2770109.0,0.0,10.3,1.63,529.97,10.3,1034164.2,167.86,True,68.31,2025-01-14,9.94,0,,84.5,ATH,False,False
14-01-2025 09:00,ALFAS,71.0,74.3,70.65,73.95,4309651.0,0.35,2.95,0.52,467.31,2.95,2787923.7,54.58,True,79.39,2025-01-14,4.45,0,,49.92,ATH,False,False
14-01-2025 09:00,HKTM,16.3,17.85,16.22,17.85,8739770.0,0.0,1.55,0.16,874.84,1.55,2539431.6,244.16,True,68.22,2025-01-14,9.98,0,,15.34,ATH,False,False
14-01-2025 09:00,AVOD,3.15,3.36,3.15,3.32,22652478.0,0.04,0.17,0.04,325.0,0.17,10945050.0,106.97,True,76.57,2025-01-14,5.4,0,,2.77,3.6,False,False
13-01-2025 09:00,SUNTK,36.7,39.76,36.4,39.64,5477122.0,0.12,2.94,0.29,900.0,2.94,3250581.5,68.5,True,74.56,2025-01-13,8.31,0,,25.74,ATH,False,False
10-01-2025 09:00,MERKO,15.5,16.86,14.75,16.77,15917987.0,0.09,1.27,0.18,601.66,1.27,4197349.4,279.24,True,70.99,2025-01-10,8.9,0,,13.19,18.4,False,False
10-01-2025 09:00,SELVA,11.42,12.62,11.28,12.62,20579541.0,0.0,1.2,0.19,528.27,1.2,4475556.3,359.82,True,78.28,2025-01-10,9.93,0,,10.21,13.85,False,False
10-01-2025 09:00,SILVR,19.75,20.96,19.51,20.72,1222846.0,0.24,0.97,0.08,1159.74,0.97,745945.7,63.93,True,59.78,2025-01-10,4.91,0,,18.33,22.32,True,False
