Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
30-06-2025 09:00,KRDMD,22.8,26.5,22.8,26.18,437738769.0,0.32,3.38,0.05,7247.83,3.38,254467767.0,72.02,0.09,True,52.42,2025-06-30,15.23,0,,25.06,34.06,True,True
30-06-2025 09:00,ULUSE,160.7,210.0,156.5,204.5,2602839.0,5.5,43.8,6.26,599.68,43.8,1266113.9,105.58,0.13,True,71.7,2025-06-30,33.31,0,,122.0,216.5,False,False
30-06-2025 09:00,ARASE,47.94,52.7,46.54,52.7,10383022.0,0.0,4.76,0.66,621.21,4.76,4128494.6,151.5,0.0,True,59.93,2025-06-30,10.71,0,,36.76,62.8,False,False
30-06-2025 09:00,TCELL,89.9,100.2,89.9,98.95,142390613.0,1.25,9.05,0.34,2561.76,9.05,90022320.9,58.17,0.14,True,53.88,2025-06-30,10.81,0,,84.55,111.4,False,False
30-06-2025 09:00,KRONT,7.99,10.07,7.8,9.64,55360644.0,0.43,1.65,0.01,32800.31,1.65,17364648.78,218.81,0.26,True,51.74,2025-06-30,20.65,0,,7.99,13.49,True,True
30-06-2025 09:00,MAVI,35.3,41.94,35.04,41.6,96053273.0,0.34,6.3,0.84,650.0,6.3,56582427.6,69.76,0.05,True,61.02,2025-06-30,17.85,0,,30.92,45.95,False,False
30-06-2025 09:00,ARZUM,4.08,4.83,4.08,4.83,95905154.0,0.0,0.75,0.16,371.7,0.75,55345997.2,73.28,0.0,True,63.95,2025-06-30,18.38,0,,3.08,7.73,False,False
30-06-2025 09:00,RYSAS,14.07,17.58,14.05,17.04,208936381.0,0.54,2.97,0.16,1767.92,2.97,47318123.8,341.56,0.18,True,54.78,2025-06-30,21.19,0,,13.43,24.5,False,False
30-06-2025 09:00,ALKIM,14.56,17.25,14.4,17.19,15923407.0,0.06,2.63,0.2,1208.46,2.63,5860567.2,171.7,0.02,True,58.98,2025-06-30,18.06,0,,15.08,20.32,True,True
30-06-2025 09:00,ALKA,6.59,7.43,6.59,7.29,29723787.0,0.14,0.7,0.02,3584.21,0.7,18392920.8,61.6,0.2,True,52.79,2025-06-30,10.79,0,,6.35,10.48,False,False
30-06-2025 09:00,MEGAP,3.42,4.99,3.42,4.99,35576336.0,0.0,1.57,0.2,701.02,1.57,8674324.3,310.13,0.0,True,71.39,2025-06-30,60.45,0,,2.26,11.74,False,False
