Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
08-09-2025 09:00,DESA,14.4,16.5,14.02,16.33,22341880.0,0.17,1.93,0.58,231.05,1.93,13584335.6,64.47,0.09,True,79.5,1.44,0.63,0.81,2025-09-08,12.39,0,,7.56,16.72,False,False
08-09-2025 09:00,PENGD,8.6,10.37,8.48,10.27,101462632.0,0.1,1.67,0.06,2637.7,1.67,66459950.5,52.67,0.06,True,60.78,0.59,0.08,0.51,2025-09-08,18.18,0,,6.96,ATH,False,False
08-09-2025 09:00,ARZUM,2.75,3.21,2.66,3.21,244304332.0,0.0,0.46,0.03,1515.4,0.46,117879839.26,107.25,0.0,True,59.47,0.16,0.02,0.14,2025-09-08,15.05,0,,1.88,4.72,False,False
08-09-2025 09:00,KUTPO,95.95,111.2,93.55,108.0,6207249.0,3.2,12.05,2.59,365.25,12.05,3034652.7,104.55,0.27,True,72.53,5.65,1.88,3.78,2025-09-08,11.28,0,,68.0,121.9,False,False
08-09-2025 09:00,EKIZ,82.1,127.3,82.1,123.0,560738.0,4.3,40.9,6.98,485.96,40.9,225967.6,148.15,0.11,True,84.51,9.07,5.55,3.53,2025-09-08,46.43,0,,50.3,ATH,False,False
08-09-2025 09:00,TOASO,220.9,246.4,220.4,240.5,43841446.0,5.9,19.6,3.12,529.21,19.6,29123109.7,50.54,0.3,True,59.16,10.57,4.39,6.17,2025-09-08,6.84,0,,150.1,353.75,False,False
01-09-2025 09:00,ALTIN,49.88,54.06,49.8,53.77,200027519.0,0.29,3.89,0.56,594.64,3.89,86109515.2,132.29,0.07,True,76.07,2.95,-0.1,3.04,2025-09-01,9.11,0,,30.18,ATH,False,False
01-09-2025 09:00,BEYAZ,27.96,36.6,27.96,35.92,47071922.0,0.68,7.96,1.5,430.67,7.96,14543969.0,223.65,0.09,True,78.08,1.77,1.37,0.4,2025-09-01,28.56,0,,19.05,36.0,False,False
01-09-2025 09:00,SKTAS,3.06,4.05,2.94,3.77,252254837.0,0.28,0.71,0.1,591.15,0.71,119303450.98,111.44,0.39,True,71.8,0.2,0.09,0.1,2025-09-01,23.61,0,,2.37,4.04,False,False
01-09-2025 09:00,BRKO,7.45,8.85,7.11,8.8,6943029.0,0.05,1.35,0.25,437.85,1.35,4162870.1,66.78,0.04,True,53.59,-0.56,0.24,-0.81,2025-09-01,18.12,0,,5.85,13.84,True,False
01-09-2025 09:00,PKENT,220.0,244.9,210.6,238.2,1779713.0,6.7,18.2,1.37,1228.47,18.2,1178953.6,50.96,0.37,True,56.68,1.35,2.48,-1.13,2025-09-01,8.08,0,,187.1,248.9,False,False
01-09-2025 09:00,PENTA,16.6,18.95,16.4,18.5,45057938.0,0.45,1.9,0.52,261.9,1.9,25837083.8,74.39,0.24,True,68.45,0.83,0.55,0.28,2025-09-01,11.45,0,,12.11,24.6,False,False
01-09-2025 09:00,PATEK,26.06,33.72,26.06,31.88,362689674.0,1.84,5.82,0.97,497.54,5.82,237274870.2,52.86,0.32,True,67.89,2.34,0.85,1.5,2025-09-01,22.99,0,,14.67,ATH,False,False
01-09-2025 09:00,PCILT,22.82,30.92,22.28,28.92,19692383.0,2.0,6.1,1.57,289.28,6.1,9442643.6,108.55,0.33,True,85.57,2.35,1.54,0.81,2025-09-01,26.07,0,,10.97,ATH,False,False
01-09-2025 09:00,DERIM,39.7,46.1,39.28,45.3,11210366.0,0.8,5.6,0.99,466.8,5.6,5904497.2,89.86,0.14,True,61.26,1.49,0.48,1.01,2025-09-01,14.11,0,,32.8,46.5,False,False
01-09-2025 09:00,MNDRS,15.2,18.9,14.95,18.9,51972562.0,0.0,3.7,0.84,338.39,3.7,24853920.9,109.11,0.0,True,84.56,1.47,0.72,0.76,2025-09-01,24.34,0,,8.35,ATH,False,False
01-09-2025 09:00,MEKAG,4.6,5.44,4.21,5.38,152683029.0,0.06,0.78,0.21,271.37,0.78,84332282.38,81.05,0.08,True,77.81,0.31,0.21,0.1,2025-09-01,17.21,0,,2.85,5.63,False,False
01-09-2025 09:00,GRNYO,13.5,17.13,11.97,16.68,6448835.0,0.45,3.18,0.85,275.44,3.18,4179496.0,54.3,0.14,True,88.03,1.22,0.85,0.37,2025-09-01,20.17,0,,7.85,ATH,False,False
01-09-2025 09:00,KOTON,18.55,20.22,18.41,19.97,55374974.0,0.25,1.42,0.52,174.66,1.42,33998283.6,62.88,0.18,True,68.25,0.26,0.68,-0.42,2025-09-01,8.06,0,,13.66,21.76,False,False
01-09-2025 09:00,INVES,564.5,680.0,523.0,677.0,755714.0,3.0,112.5,41.38,171.9,112.5,496087.9,52.33,0.03,True,89.12,82.83,43.12,39.71,2025-09-01,19.93,0,,193.8,ATH,False,False
01-09-2025 09:00,KAPLM,218.8,308.75,218.8,308.75,2221768.0,0.0,89.95,9.39,858.44,89.95,958798.4,131.72,0.0,True,77.07,13.66,5.84,7.83,2025-09-01,40.98,0,,197.3,ATH,False,False
01-09-2025 09:00,ALKA,7.75,9.65,7.69,9.21,76299953.0,0.44,1.46,0.24,498.36,1.46,31839454.9,139.64,0.3,True,71.11,0.25,0.2,0.06,2025-09-01,18.99,0,,6.31,10.48,False,False
01-09-2025 09:00,IZINV,68.75,93.3,65.7,91.6,2544812.0,1.7,22.85,5.24,335.65,22.85,1506548.1,68.92,0.07,True,82.2,8.57,3.88,4.69,2025-09-01,33.14,0,,33.7,ATH,False,False
01-09-2025 09:00,YBTAS,36.63,43.11,35.3,43.11,1645645.65,0.0,6.48,1.12,478.29,6.48,651651.65,152.53,0.0,True,53.62,-1.35,0.58,-1.93,2025-09-01,16.27,0,,28.72,75.27,True,True
25-08-2025 09:00,TUCLK,11.39,13.3,10.99,13.03,175282290.0,0.27,1.64,0.3,452.19,1.64,42720243.4,310.3,0.16,True,74.36,0.36,0.38,-0.02,2025-08-25,18.45,0,,7.1,14.04,False,False
25-08-2025 09:00,BRSAN,399.0,528.0,399.0,510.0,17020235.0,18.0,111.0,18.2,509.89,111.0,5272504.7,222.81,0.16,True,72.47,5.53,18.13,-12.6,2025-08-25,28.79,0,,297.5,601.5,False,False
25-08-2025 09:00,ATSYH,50.1,54.0,50.1,54.0,467680.0,0.0,3.9,0.48,704.12,3.9,305401.7,53.14,0.0,True,50.88,0.61,-0.62,1.23,2025-08-25,5.16,0,,42.12,73.25,False,False
25-08-2025 09:00,KUVVA,90.0,104.8,89.0,104.0,942099.0,0.8,14.0,1.51,827.15,14.0,507817.5,85.52,0.06,True,71.0,8.34,-0.32,8.65,2025-08-25,15.62,0,,46.0,ATH,False,False
25-08-2025 09:00,INTEM,229.0,266.0,226.1,262.0,1111659.0,4.0,33.0,8.25,300.0,33.0,485213.0,129.11,0.12,True,72.2,4.94,8.28,-3.35,2025-08-25,16.29,0,,162.7,279.5,False,False
25-08-2025 09:00,YUNSA,7.47,9.1,7.37,9.1,160294998.0,0.0,1.63,0.41,294.67,1.63,62068486.3,158.26,0.0,True,83.39,0.31,0.4,-0.08,2025-08-25,22.15,0,,4.7,14.1,False,False
