Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
12-05-2025 17:00,LMKDC,27.68,28.4,27.66,28.38,2240125.0,0.02,0.7,0.07,960.61,0.7,882921.5,153.72,0.03,True,81.69,2025-05-12,26.9,5.5,0,,25.7,ATH,False,False
12-05-2025 17:00,PASEU,67.95,71.0,67.75,71.0,2938276.0,0.0,3.05,0.05,6677.78,3.05,635132.3,362.62,0.0,True,66.06,2025-05-12,70.3,1.0,0,,67.1,ATH,False,False
12-05-2025 17:00,CIMSA,48.7,49.54,48.6,49.48,3144710.0,0.06,0.78,0.15,434.25,0.78,1379341.2,127.99,0.08,True,76.36,2025-05-12,46.54,6.32,0,,43.96,ATH,False,False
12-05-2025 17:00,KAYSE,18.07,18.32,18.05,18.32,833319.0,0.0,0.25,0.06,296.83,0.25,323219.2,157.82,0.0,True,73.6,2025-05-12,17.55,4.39,0,,17.2,ATH,False,False
12-05-2025 17:00,KIMMR,10.64,10.81,10.6,10.81,749991.0,0.0,0.17,0.03,448.39,0.17,328755.6,128.13,0.0,True,78.55,2025-05-12,10.39,4.04,0,,10.03,ATH,False,False
12-05-2025 17:00,ALKA,6.71,6.86,6.7,6.83,1671377.0,0.03,0.12,0.01,1900.0,0.12,543812.1,207.34,0.25,True,67.22,2025-05-12,6.59,3.64,0,,6.53,ATH,False,False
12-05-2025 17:00,KRDMD,24.58,24.88,24.46,24.82,13952009.0,0.06,0.24,0.01,1900.0,0.24,5937481.5,134.98,0.25,True,73.46,2025-05-12,23.98,3.5,0,,22.7,ATH,False,False
12-05-2025 17:00,PETKM,17.36,17.89,17.35,17.89,28154690.0,0.0,0.53,0.07,636.11,0.53,11909227.9,136.41,0.0,True,79.7,2025-05-12,17.0,5.24,0,,16.13,ATH,False,False
12-05-2025 17:00,INFO,2.09,2.21,2.09,2.2,13391723.0,0.01,0.11,0.01,685.71,0.11,2255274.3,493.8,0.09,True,81.97,2025-05-12,2.01,9.45,0,,1.97,ATH,False,False
12-05-2025 17:00,VAKBN,23.26,23.56,23.16,23.48,9938163.0,0.08,0.22,0.05,358.33,0.22,3090730.0,221.55,0.36,True,72.3,2025-05-12,22.5,4.36,0,,21.96,ATH,False,False
12-05-2025 17:00,HALKB,20.8,21.98,20.76,21.88,41911294.0,0.1,1.08,0.09,1073.91,1.08,7955637.5,426.81,0.09,True,82.06,2025-05-12,20.26,8.0,0,,19.87,ATH,False,False
12-05-2025 17:00,KRONT,18.21,18.88,18.12,18.84,416426.0,0.04,0.63,0.06,900.0,0.63,111081.9,274.88,0.06,True,68.69,2025-05-12,18.02,4.55,0,,16.67,ATH,False,False
12-05-2025 17:00,VSNMD,301.25,318.25,300.75,315.5,1989023.0,2.75,14.25,1.35,955.56,14.25,369165.9,438.79,0.19,True,49.56,2025-05-12,309.75,1.86,0,,297.25,345.0,False,False
12-05-2025 17:00,MNDRS,9.88,10.0,9.82,9.99,513180.0,0.01,0.11,0.0,2650.0,0.11,296680.5,72.97,0.09,True,66.3,2025-05-12,9.8,1.94,0,,9.13,10.05,False,False
12-05-2025 17:00,MGROS,533.5,538.0,532.0,537.0,298622.0,1.0,3.5,0.15,2233.33,3.5,146219.5,104.23,0.29,True,70.9,2025-05-12,523.0,2.68,0,,486.0,ATH,False,False
12-05-2025 16:00,GARAN,105.0,106.2,104.8,106.1,4820553.0,0.1,1.1,0.21,423.81,1.1,3081276.8,56.45,0.09,True,73.73,2025-05-12,101.2,4.84,0,,98.75,ATH,False,False
12-05-2025 16:00,ULUUN,6.28,6.44,6.28,6.44,1781715.0,0.0,0.16,0.02,595.65,0.16,852013.3,109.12,0.0,True,75.35,2025-05-12,6.07,6.1,0,,5.96,ATH,False,False
12-05-2025 16:00,MOBTL,7.29,7.59,7.25,7.56,2679112.0,0.03,0.27,0.06,390.91,0.27,806245.5,232.29,0.11,True,65.3,2025-05-12,7.07,6.93,0,,6.89,8.56,False,False
12-05-2025 16:00,GLYHO,7.94,8.05,7.93,8.04,6237473.0,0.01,0.1,0.02,316.67,0.1,3880902.5,60.72,0.1,True,73.97,2025-05-12,7.69,4.55,0,,7.41,ATH,False,False
12-05-2025 16:00,THYAO,304.0,308.0,303.75,307.25,3879970.0,0.75,3.25,0.02,12900.0,3.25,2272340.3,70.75,0.23,True,73.96,2025-05-12,294.0,4.51,0,,276.25,ATH,False,False
12-05-2025 16:00,SARKY,19.14,19.59,19.13,19.48,397334.0,0.11,0.34,0.05,655.56,0.34,164233.3,141.93,0.32,True,74.14,2025-05-12,18.88,3.18,0,,18.5,19.55,False,False
12-05-2025 16:00,ENERY,4.33,4.39,4.31,4.39,17207771.0,0.0,0.06,0.01,445.45,0.06,5142735.3,234.6,0.0,True,71.95,2025-05-12,4.29,2.33,0,,4.22,ATH,False,False
12-05-2025 16:00,PENTA,13.35,13.7,13.32,13.64,881282.0,0.06,0.29,0.03,866.67,0.29,307574.3,186.53,0.21,True,75.63,2025-05-12,13.11,4.04,0,,12.98,13.81,False,False
12-05-2025 15:00,EGEGY,18.32,18.6,18.23,18.53,659507.0,0.07,0.21,0.01,1300.0,0.21,325597.3,102.55,0.33,True,56.39,2025-05-12,18.41,0.65,0,,17.99,18.71,False,False
12-05-2025 15:00,KLSYN,5.11,5.19,5.07,5.18,1025859.0,0.01,0.07,0.0,2233.33,0.07,436095.2,135.24,0.14,True,59.98,2025-05-12,5.08,1.97,0,,5.05,5.2,False,False
12-05-2025 15:00,EGGUB,75.6,77.35,75.25,76.85,280032.0,0.5,1.25,0.54,133.64,1.25,163604.2,71.16,0.4,True,75.14,2025-05-12,72.5,6.0,0,,70.0,78.45,False,False
12-05-2025 15:00,UNLU,15.88,16.18,15.85,16.14,174760.0,0.04,0.26,0.02,1525.0,0.26,90126.4,93.91,0.15,True,58.87,2025-05-12,15.79,2.22,0,,15.65,16.32,True,True
12-05-2025 15:00,GLRYH,3.09,3.15,3.08,3.14,2813736.0,0.01,0.05,0.01,316.67,0.05,1767465.3,59.2,0.2,True,73.1,2025-05-12,2.97,5.72,0,,2.85,3.25,False,False
12-05-2025 15:00,YESIL,1.41,1.43,1.41,1.43,3073687.0,0.0,0.02,0.0,400.0,0.02,1598767.4,92.25,0.0,True,64.12,2025-05-12,1.39,2.88,0,,1.37,1.46,False,False
12-05-2025 15:00,DSTKF,218.4,227.0,218.4,225.7,509089.0,1.3,7.3,1.21,503.31,7.3,331680.1,53.49,0.18,True,68.29,2025-05-12,207.0,9.03,0,,202.1,226.8,False,False
12-05-2025 14:00,ARZUM,3.32,3.44,3.31,3.44,3108330.0,0.0,0.12,0.02,400.0,0.12,1633844.2,90.25,0.0,True,81.87,2025-05-12,3.25,5.85,0,,3.11,ATH,False,False
12-05-2025 14:00,TSPOR,0.9,0.91,0.9,0.91,97979135.0,0.0,0.01,0.0,400.0,0.01,24921635.2,293.15,0.0,True,59.53,2025-05-12,0.89,2.25,0,,0.88,ATH,False,False
12-05-2025 14:00,SAMAT,18.01,18.4,17.94,18.4,461641.0,0.0,0.39,0.04,806.98,0.39,186992.3,146.88,0.0,True,67.2,2025-05-12,17.78,3.49,0,,17.6,19.13,True,False
12-05-2025 13:00,PRDGS,6.08,6.65,6.07,6.64,5583610.0,0.01,0.56,0.0,27900.0,0.56,3261949.4,71.17,0.02,True,64.59,2025-05-12,6.45,2.95,0,,5.31,ATH,False,False
12-05-2025 13:00,NTGAZ,9.42,10.29,9.35,10.24,8975520.0,0.05,0.82,0.09,864.71,0.82,2069472.3,333.71,0.06,True,80.19,2025-05-12,9.39,9.05,0,,8.91,ATH,False,False
12-05-2025 12:00,IZFAS,87.3,90.25,86.95,89.6,1326518.0,0.65,2.3,0.32,618.75,2.3,468785.9,182.97,0.28,True,71.4,2025-05-12,87.0,2.99,0,,85.0,ATH,False,False
12-05-2025 12:00,BAGFS,28.92,30.4,28.9,30.34,964421.0,0.06,1.42,0.11,1239.62,1.42,636607.6,51.49,0.04,True,67.78,2025-05-12,28.9,4.98,0,,26.04,ATH,False,False
12-05-2025 12:00,TKFEN,128.5,132.4,128.5,131.3,1625381.0,1.1,2.8,0.31,803.23,2.8,910796.3,78.46,0.39,True,63.77,2025-05-12,125.5,4.62,0,,113.6,140.8,False,False
12-05-2025 12:00,OFSYM,39.66,40.8,39.48,40.68,553972.0,0.12,1.02,0.16,537.5,1.02,185827.0,198.11,0.12,True,68.14,2025-05-12,38.98,4.36,0,,36.94,41.36,False,False
12-05-2025 12:00,BRSAN,360.0,363.75,359.75,363.0,123126.0,0.75,3.0,0.32,823.08,3.0,69529.8,77.08,0.25,True,71.14,2025-05-12,351.5,3.27,0,,349.0,372.5,False,False
12-05-2025 12:00,SKTAS,5.72,5.97,5.66,5.95,1888003.0,0.02,0.23,0.02,995.24,0.23,755837.1,149.79,0.09,True,78.51,2025-05-12,5.52,7.79,0,,4.55,ATH,False,False
12-05-2025 11:00,GESAN,41.88,43.32,41.88,43.06,2492002.0,0.26,1.18,0.16,619.51,1.18,685984.1,263.27,0.22,True,80.94,2025-05-12,40.5,6.32,0,,39.56,ATH,False,False
12-05-2025 11:00,EUPWR,26.04,27.36,26.04,27.04,3727548.0,0.32,1.0,0.16,541.03,1.0,892057.0,317.86,0.32,True,83.27,2025-05-12,25.1,7.73,0,,24.28,ATH,False,False
12-05-2025 11:00,ENJSA,56.1,57.05,56.05,57.0,973812.0,0.05,0.9,0.18,400.0,0.9,471730.4,106.43,0.06,True,80.39,2025-05-12,55.0,3.64,0,,52.65,ATH,False,False
12-05-2025 11:00,DMRGD,19.83,21.04,19.79,20.7,1644750.0,0.34,0.87,0.08,1015.38,0.87,520540.2,215.97,0.39,True,69.65,2025-05-12,19.61,5.56,0,,18.32,ATH,False,False
12-05-2025 11:00,KLSER,28.86,29.34,28.86,29.22,408463.0,0.12,0.36,0.07,429.41,0.36,177759.2,129.78,0.33,True,79.52,2025-05-12,28.26,3.4,0,,27.72,30.3,False,False
12-05-2025 11:00,GLRMK,158.4,160.8,158.4,160.3,844147.0,0.5,1.9,0.41,363.41,1.9,415748.0,103.04,0.26,True,74.89,2025-05-12,156.0,2.76,0,,148.9,ATH,False,False
12-05-2025 11:00,LOGO,135.6,138.7,135.5,138.5,222206.0,0.2,2.9,0.07,4042.86,2.9,142295.7,56.16,0.07,True,56.06,2025-05-12,135.0,2.59,0,,133.2,151.3,True,True
12-05-2025 11:00,KCHOL,149.1,153.4,148.9,152.6,11734573.0,0.8,3.5,0.9,288.89,3.5,5165109.0,127.19,0.23,True,87.75,2025-05-12,143.9,6.05,0,,138.8,ATH,False,False
12-05-2025 11:00,GMTAS,12.89,13.48,12.86,13.35,1326942.0,0.13,0.46,0.07,557.14,0.46,342110.8,287.87,0.28,True,71.03,2025-05-12,12.58,6.12,0,,12.42,14.21,True,False
12-05-2025 11:00,GOKNR,26.08,26.94,26.08,26.7,1125231.0,0.24,0.62,0.04,1531.58,0.62,598994.2,87.85,0.39,True,55.78,2025-05-12,26.26,1.68,0,,25.94,27.62,True,True
12-05-2025 11:00,ISMEN,38.0,39.0,37.9,38.94,1561997.0,0.06,0.94,0.18,416.48,0.94,651068.0,139.91,0.06,True,78.42,2025-05-12,37.3,4.4,0,,34.34,ATH,False,False
12-05-2025 11:00,GUNDG,53.5,58.0,53.4,57.55,1000161.0,0.45,4.05,0.37,980.0,4.05,172440.1,480.0,0.11,True,70.37,2025-05-12,52.75,9.1,0,,52.7,58.55,False,False
12-05-2025 11:00,ICBCT,13.18,13.37,13.18,13.34,808330.0,0.03,0.16,0.02,900.0,0.16,314588.0,156.95,0.19,True,69.65,2025-05-12,12.95,3.01,0,,12.94,13.41,False,False
12-05-2025 11:00,INDES,6.93,7.01,6.91,7.0,1313858.0,0.01,0.07,0.01,677.78,0.07,768632.9,70.93,0.14,True,65.9,2025-05-12,6.85,2.19,0,,6.76,7.15,False,False
12-05-2025 11:00,ISFIN,12.85,12.93,12.83,12.92,1266419.0,0.01,0.07,0.02,250.0,0.07,739085.1,71.35,0.14,True,62.98,2025-05-12,12.66,2.05,0,,12.53,12.94,False,False
12-05-2025 11:00,MARTI,2.84,2.88,2.83,2.88,2285005.0,0.0,0.04,0.01,566.67,0.04,1382967.0,65.22,0.0,True,62.83,2025-05-12,2.79,3.23,0,,2.76,3.05,False,False
12-05-2025 11:00,AVPGY,53.8,54.65,53.75,54.55,427348.0,0.1,0.75,0.2,284.62,0.75,261127.5,63.65,0.13,True,75.9,2025-05-12,52.95,3.02,0,,51.5,ATH,False,False
12-05-2025 11:00,YEOTK,43.96,45.18,43.94,45.12,1926869.0,0.06,1.16,0.19,523.66,1.16,897386.7,114.72,0.05,True,75.91,2025-05-12,43.14,4.59,0,,41.3,45.48,False,False
12-05-2025 11:00,YATAS,25.12,26.08,25.1,25.94,545252.0,0.14,0.82,0.06,1266.67,0.82,243955.3,123.5,0.17,True,76.11,2025-05-12,25.28,2.61,0,,24.96,ATH,False,False
12-05-2025 11:00,VESTL,42.46,43.02,42.46,42.96,884309.0,0.06,0.5,0.13,273.13,0.5,577239.6,53.2,0.12,True,78.34,2025-05-12,41.5,3.52,0,,39.36,ATH,False,False
12-05-2025 11:00,AKSA,9.87,10.09,9.87,10.05,7105130.0,0.04,0.18,0.05,300.0,0.18,2344818.4,203.01,0.22,True,80.85,2025-05-12,9.5,5.79,0,,9.3,ATH,False,False
12-05-2025 11:00,TUCLK,9.13,9.29,9.1,9.27,536683.0,0.02,0.14,0.02,566.67,0.14,279334.9,92.13,0.14,True,66.23,2025-05-12,8.91,4.04,0,,8.83,9.43,False,False
12-05-2025 11:00,ANHYT,81.15,82.85,81.05,82.75,208126.0,0.1,1.6,0.48,236.84,1.6,125353.8,66.03,0.06,True,79.69,2025-05-12,78.6,5.28,0,,75.2,84.1,False,False
12-05-2025 11:00,SKBNK,5.46,5.65,5.45,5.64,12005581.0,0.01,0.18,0.05,252.94,0.18,5467385.8,119.59,0.06,True,87.14,2025-05-12,5.31,6.21,0,,5.05,ATH,False,False
12-05-2025 11:00,SISE,35.88,36.66,35.86,36.56,15047641.0,0.1,0.68,0.1,593.88,0.68,5705849.0,163.72,0.15,True,86.34,2025-05-12,34.16,7.03,0,,32.9,ATH,False,False
12-05-2025 11:00,ODAS,5.02,5.07,5.0,5.06,14250770.0,0.01,0.04,0.02,150.0,0.04,7128159.0,99.92,0.25,True,81.93,2025-05-12,4.91,3.05,0,,4.7,5.07,False,False
12-05-2025 11:00,MOGAN,8.72,8.81,8.69,8.8,1608986.0,0.01,0.08,0.02,220.0,0.08,836736.1,92.29,0.12,True,82.77,2025-05-12,8.55,2.92,0,,8.31,ATH,False,False
12-05-2025 11:00,BIGEN,15.19,15.72,15.16,15.63,1738810.0,0.09,0.44,0.02,1813.04,0.44,1145101.0,51.85,0.2,True,65.79,2025-05-12,15.41,1.43,0,,14.09,15.76,False,False
12-05-2025 11:00,PGSUS,250.5,254.25,250.25,253.5,1978171.0,0.75,3.0,0.6,400.0,3.0,1178767.8,67.82,0.25,True,76.41,2025-05-12,244.9,3.51,0,,222.2,ATH,False,False
12-05-2025 10:00,IZMDC,5.12,5.2,5.09,5.18,1540793.0,0.02,0.06,0.0,1100.0,0.06,470248.8,227.65,0.33,True,64.97,2025-05-12,5.08,1.97,0,,5.06,5.26,False,False
12-05-2025 10:00,RALYH,123.5,129.0,122.9,128.7,435070.0,0.3,5.2,0.96,441.67,5.2,166957.8,160.59,0.06,True,79.89,2025-05-12,123.5,4.21,0,,114.0,ATH,False,False
12-05-2025 10:00,ZOREN,3.26,3.31,3.26,3.31,32000299.0,0.0,0.05,0.0,2400.0,0.05,8191981.5,290.63,0.0,True,66.16,2025-05-12,3.25,1.85,0,,3.23,3.33,False,False
