Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
20-01-2025 13:00,PRDGS,5.44,5.74,5.42,5.71,4577752.0,0.03,0.27,0.02,1073.91,0.27,1114697.8,310.67,True,69.87,2025-01-20,5.41,5.55,0,,5.39,5.96,False,False
20-01-2025 13:00,ARDYZ,38.9,39.56,38.84,39.48,851185.0,0.08,0.58,0.13,360.32,0.58,225272.1,277.85,True,74.05,2025-01-20,38.08,3.68,0,,37.5,39.7,False,False
20-01-2025 13:00,PCILT,17.11,17.47,17.1,17.38,511872.0,0.09,0.27,0.06,335.48,0.27,127807.5,300.5,True,69.89,2025-01-20,16.82,3.33,0,,16.08,17.83,False,False
20-01-2025 13:00,GOZDE,25.26,25.56,25.24,25.5,152315.0,0.06,0.24,0.07,233.33,0.24,71458.7,113.15,True,78.05,2025-01-20,24.86,2.57,0,,24.3,26.14,False,False
20-01-2025 13:00,ISFIN,13.23,13.29,13.22,13.28,419171.0,0.01,0.05,0.0,1566.67,0.05,233834.5,79.26,True,60.71,2025-01-20,13.24,0.3,0,,12.52,13.55,False,False
20-01-2025 12:00,FENER,47.46,48.86,47.42,48.58,2301780.0,0.28,1.12,0.11,900.0,1.12,736385.1,212.58,True,73.36,2025-01-20,46.86,3.67,0,,44.08,49.06,False,False
20-01-2025 12:00,TEKTU,4.54,4.66,4.52,4.65,1662818.0,0.01,0.11,0.01,1000.0,0.11,467538.1,255.65,True,69.62,2025-01-20,4.54,2.42,0,,4.36,4.67,False,False
20-01-2025 12:00,FZLGY,27.2,28.02,27.18,27.94,261852.0,0.08,0.74,0.08,780.95,0.74,110294.3,137.41,True,70.24,2025-01-20,27.04,3.33,0,,25.5,28.42,False,False
20-01-2025 12:00,ASELS,81.5,82.4,81.45,82.25,3012564.0,0.15,0.75,0.07,971.43,0.75,1744995.7,72.64,True,72.14,2025-01-20,81.05,1.48,0,,77.3,ATH,False,False
20-01-2025 12:00,LIDFA,3.03,3.07,3.01,3.06,1424487.0,0.01,0.03,0.01,233.33,0.03,594710.3,139.53,True,72.64,2025-01-20,2.97,3.03,0,,2.91,3.12,False,False
