Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
24-09-2025 11:00,ALKIM,21.24,21.68,20.88,21.64,1928391.0,0.04,0.4,0.05,669.23,0.4,1186090.5,62.58,0.1,True,71.88,0.46,0.02,0.45,2025-09-24,21.4,1.12,0,,19.72,ATH,False,False
24-09-2025 11:00,ARMGD,34.46,34.7,34.12,34.66,821605.0,0.04,0.2,0.02,733.33,0.2,266504.3,208.29,0.2,True,60.11,0.11,0.02,0.09,2025-09-24,34.34,0.93,0,,33.96,34.8,False,False
24-09-2025 11:00,FLAP,10.8,11.78,10.55,11.5,2055198.0,0.28,0.7,0.08,723.53,0.7,371052.5,453.88,0.4,True,77.78,0.12,0.07,0.04,2025-09-24,10.71,7.38,0,,10.3,ATH,False,False
24-09-2025 11:00,SELVA,3.64,3.8,3.63,3.8,18825873.0,0.0,0.16,0.03,384.85,0.16,4466285.5,321.51,0.0,True,71.49,0.12,0.01,0.11,2025-09-24,3.46,9.83,0,,3.2,ATH,False,False
24-09-2025 11:00,TATEN,60.25,62.35,59.3,61.8,725064.0,0.55,1.55,0.38,313.33,1.55,245259.0,195.63,0.35,True,73.03,0.28,0.32,-0.05,2025-09-24,59.15,4.48,0,,57.0,63.65,False,False
24-09-2025 11:00,ECILC,70.55,71.75,69.7,71.7,1923953.0,0.05,1.15,0.26,333.96,1.15,767045.3,150.83,0.04,True,68.13,0.54,0.12,0.42,2025-09-24,70.35,1.92,0,,68.5,ATH,False,False
24-09-2025 10:00,A1CAP,9.67,10.3,9.62,10.17,10123369.0,0.13,0.5,0.03,1328.57,0.5,1954252.7,418.02,0.26,True,77.04,0.09,0.01,0.08,2025-09-24,9.67,5.17,0,,9.51,ATH,False,False
24-09-2025 10:00,MZHLD,7.76,8.17,7.51,8.1,1627596.0,0.07,0.34,0.09,286.36,0.34,403440.7,303.43,0.21,True,92.21,0.26,0.07,0.18,2025-09-24,7.77,4.25,0,,6.56,ATH,False,False
24-09-2025 10:00,PETUN,13.15,13.55,13.13,13.5,687245.0,0.05,0.35,0.04,900.0,0.35,197336.6,248.26,0.14,True,57.76,-0.05,-0.01,-0.04,2025-09-24,13.17,2.51,0,,13.1,13.91,False,False
24-09-2025 10:00,PENGD,9.55,9.8,9.55,9.74,2420016.0,0.06,0.19,0.01,2614.29,0.19,1087796.1,122.47,0.32,True,33.26,-0.29,0.02,-0.31,2025-09-24,9.57,1.78,0,,9.25,11.77,True,True
24-09-2025 10:00,CRDFA,21.0,21.5,20.74,21.4,239383.0,0.1,0.4,0.04,952.63,0.4,87793.8,172.67,0.25,True,63.85,0.15,0.02,0.13,2025-09-24,21.0,1.9,0,,19.71,21.9,False,False
24-09-2025 10:00,ATATP,160.3,166.5,160.3,165.4,518720.0,1.1,5.1,0.16,3087.5,5.1,202253.5,156.47,0.22,True,65.74,1.62,-0.32,1.95,2025-09-24,159.2,3.89,0,,149.9,168.0,False,False
24-09-2025 10:00,CEMZY,33.94,34.76,33.64,34.56,878588.0,0.2,0.62,0.02,2483.33,0.62,298393.6,194.44,0.32,True,50.28,0.16,-0.17,0.33,2025-09-24,33.98,1.71,0,,30.46,36.26,False,False
24-09-2025 10:00,BALSU,24.54,24.98,24.54,24.88,1996641.0,0.1,0.34,0.01,4150.0,0.34,561114.9,255.83,0.29,True,62.77,0.05,-0.0,0.05,2025-09-24,24.44,1.8,0,,24.08,25.14,False,False
24-09-2025 10:00,BAHKM,53.5,55.5,52.8,55.0,279468.0,0.5,1.5,0.01,29900.0,1.5,108455.8,157.68,0.33,True,57.01,-0.17,-0.14,-0.03,2025-09-24,53.35,3.09,0,,51.35,58.25,False,False
24-09-2025 10:00,RALYH,136.0,149.0,134.9,149.0,2096100.0,0.0,13.0,2.08,525.0,13.0,664290.6,215.54,0.0,True,79.86,1.45,1.95,-0.5,2025-09-24,135.5,9.96,0,,132.7,ATH,False,False
24-09-2025 10:00,BSOKE,15.28,15.76,15.25,15.65,5528652.0,0.11,0.37,0.01,3600.0,0.37,2211855.8,149.96,0.3,True,47.55,-0.26,0.02,-0.28,2025-09-24,15.23,2.76,0,,15.01,16.97,True,True
24-09-2025 10:00,MAKTK,19.67,20.1,19.56,20.1,1083009.0,0.0,0.43,0.06,654.39,0.43,629400.2,72.07,0.0,True,55.93,-0.11,0.06,-0.17,2025-09-24,19.65,2.29,0,,19.25,20.16,False,False
24-09-2025 10:00,BMSTL,69.5,70.6,68.95,70.6,426709.0,0.0,1.1,0.02,5400.0,1.1,124068.9,243.93,0.0,True,53.73,-0.2,0.08,-0.27,2025-09-24,69.75,1.22,0,,67.4,71.6,False,False
24-09-2025 10:00,YAYLA,35.78,36.6,35.5,36.4,144639.0,0.2,0.62,0.05,1140.0,0.62,62161.7,132.68,0.32,True,57.27,-0.19,0.1,-0.28,2025-09-24,35.94,1.28,0,,35.78,38.8,True,False
24-09-2025 10:00,MAVI,38.2,38.86,38.1,38.8,5441999.0,0.06,0.6,0.1,512.24,0.6,2014476.9,170.14,0.1,True,66.05,0.01,0.16,-0.16,2025-09-24,38.04,2.0,0,,37.14,42.6,False,False
24-09-2025 10:00,IMASM,4.25,4.53,4.24,4.47,44932203.0,0.06,0.22,0.04,478.95,0.22,9687090.8,363.84,0.27,True,76.15,0.05,0.02,0.03,2025-09-24,4.21,6.18,0,,3.98,ATH,False,False
24-09-2025 10:00,MEKAG,5.29,5.37,5.27,5.36,2962651.0,0.01,0.07,0.01,536.36,0.07,1187157.0,149.56,0.14,True,53.98,-0.02,0.01,-0.03,2025-09-24,5.3,1.13,0,,5.19,5.63,False,False
24-09-2025 10:00,PRKME,22.2,24.06,22.12,24.06,2078480.0,0.0,1.86,0.23,708.7,1.86,323773.8,541.95,0.0,True,84.48,0.3,0.16,0.14,2025-09-24,21.88,9.96,0,,21.32,ATH,False,False
24-09-2025 10:00,EGPRO,29.5,30.6,28.76,30.38,713408.0,0.22,0.88,0.03,3042.86,0.88,260040.8,174.34,0.25,True,63.73,0.16,-0.07,0.22,2025-09-24,29.5,2.98,0,,28.02,30.82,False,False
24-09-2025 10:00,BINHO,11.03,11.34,11.02,11.26,22169754.0,0.08,0.23,0.01,3733.33,0.23,5301997.1,318.14,0.35,True,49.95,-0.12,0.0,-0.13,2025-09-24,10.98,2.55,0,,10.96,11.71,True,True
24-09-2025 10:00,SKTAS,3.74,4.04,3.7,4.0,26869132.0,0.04,0.26,0.06,333.33,0.26,9362825.9,186.98,0.15,True,83.71,0.12,0.05,0.07,2025-09-24,3.7,8.11,0,,3.28,ATH,False,False
24-09-2025 10:00,TRCAS,37.0,37.96,37.0,37.96,225195.0,0.0,0.96,0.09,921.28,0.96,94317.7,138.76,0.0,True,62.59,0.1,0.01,0.08,2025-09-24,37.0,2.59,0,,34.86,38.04,False,False
24-09-2025 10:00,TKFEN,93.5,96.2,93.5,95.65,1233019.0,0.55,2.15,0.18,1094.44,2.15,408171.7,202.08,0.26,True,56.61,-0.18,-0.14,-0.04,2025-09-24,93.45,2.35,0,,92.0,98.7,False,False
24-09-2025 10:00,AKSA,11.36,11.76,11.27,11.7,8253708.0,0.06,0.34,0.04,729.27,0.34,2840311.5,190.59,0.18,True,73.19,0.14,0.01,0.13,2025-09-24,11.36,2.99,0,,10.6,ATH,False,False
24-09-2025 10:00,DOFRB,113.0,116.3,112.2,116.3,1982975.0,0.0,3.3,0.33,900.0,3.3,333817.2,494.03,0.0,True,97.53,6.56,0.35,6.21,2025-09-24,105.8,9.92,0,,65.8,ATH,False,False
24-09-2025 10:00,KLKIM,36.56,37.58,36.5,37.52,792895.0,0.06,0.96,0.06,1448.39,0.96,216306.0,266.56,0.06,True,62.17,-0.04,-0.01,-0.02,2025-09-24,36.44,2.96,0,,36.02,38.4,False,False
24-09-2025 10:00,AKYHO,3.58,3.62,3.56,3.62,878195.0,0.0,0.04,0.01,566.67,0.04,422023.7,108.09,0.0,True,46.91,-0.01,-0.01,0.01,2025-09-24,3.63,-0.28,0,,3.6,3.9,False,False
24-09-2025 10:00,IZENR,9.86,10.26,9.85,10.19,24662447.0,0.07,0.33,0.04,667.44,0.33,8376813.1,194.41,0.21,True,73.1,0.13,0.03,0.1,2025-09-24,9.84,3.56,0,,9.38,ATH,False,False
24-09-2025 10:00,YKSLN,6.08,6.2,6.08,6.19,1658441.0,0.01,0.11,0.01,1733.33,0.11,890528.8,86.23,0.09,True,57.18,0.0,-0.0,0.0,2025-09-24,6.07,1.98,0,,6.06,6.34,False,False
24-09-2025 10:00,KLMSN,52.2,55.25,52.0,55.25,1910221.0,0.0,3.05,0.3,900.0,3.05,297718.0,541.62,0.0,True,89.16,2.36,0.38,1.98,2025-09-24,50.25,9.95,0,,41.62,ATH,False,False
24-09-2025 10:00,RUZYE,13.6,14.37,13.23,14.27,28657858.0,0.1,0.67,0.11,514.68,0.67,6407206.8,347.28,0.15,True,80.98,0.64,0.1,0.54,2025-09-24,13.23,7.86,0,,10.43,ATH,False,False
24-09-2025 10:00,ALKA,14.55,15.54,13.9,15.46,17336134.0,0.08,0.91,0.12,664.71,0.91,4085170.3,324.37,0.09,True,93.46,0.82,0.08,0.74,2025-09-24,14.54,6.33,0,,11.66,ATH,False,False
24-09-2025 10:00,DSTKF,621.0,652.0,620.5,650.0,412853.0,2.0,29.0,1.4,1971.43,29.0,142150.0,190.43,0.07,True,52.52,-12.69,2.13,-14.82,2025-09-24,619.0,5.01,0,,627.5,668.0,True,True
24-09-2025 10:00,A1YEN,32.86,33.52,32.42,33.52,884339.0,0.0,0.66,0.04,1471.43,0.66,326495.8,170.86,0.0,True,71.8,0.39,-0.01,0.4,2025-09-24,32.88,1.95,0,,30.76,ATH,False,False
24-09-2025 10:00,ALTIN,61.41,62.37,61.4,62.27,10126414.0,0.1,0.86,0.08,1031.58,0.86,3865894.8,161.94,0.12,True,80.0,0.76,0.01,0.75,2025-09-24,61.4,1.42,0,,56.64,ATH,False,False
24-09-2025 10:00,SEGMN,26.28,26.66,26.18,26.56,594953.0,0.1,0.28,0.01,1900.0,0.28,205404.5,189.65,0.36,True,57.02,-0.04,0.03,-0.07,2025-09-24,26.2,1.37,0,,25.46,27.64,False,False
23-09-2025 17:00,OYLUM,9.71,10.14,9.71,10.09,303342.0,0.05,0.38,0.02,1483.33,0.38,126274.9,140.22,0.13,True,63.61,0.15,-0.01,0.16,2025-09-23,9.93,1.61,0,,9.1,ATH,False,False
23-09-2025 17:00,DAPGM,15.15,16.5,15.12,16.5,41466272.0,0.0,1.35,0.06,2150.0,1.35,10222509.0,305.64,0.0,True,64.02,-0.04,0.12,-0.17,2025-09-23,16.0,3.12,0,,14.5,17.92,False,False
23-09-2025 17:00,ODINE,154.1,156.0,153.5,155.5,249710.0,0.5,1.4,0.03,4566.67,1.4,71064.3,251.39,0.36,True,55.62,0.49,-0.17,0.66,2025-09-23,155.0,0.32,0,,149.6,158.1,False,False
23-09-2025 17:00,ESCAR,19.55,19.81,19.53,19.74,3443493.0,0.07,0.19,0.02,1087.5,0.19,1550405.0,122.1,0.37,True,56.35,0.01,0.06,-0.05,2025-09-23,19.6,0.71,0,,18.66,20.02,False,False
23-09-2025 17:00,CEMAS,7.36,7.55,7.32,7.54,7781039.0,0.01,0.18,0.01,1284.62,0.18,3649365.5,113.22,0.06,True,64.27,0.01,0.0,0.0,2025-09-23,7.39,2.03,0,,7.12,7.64,False,False
23-09-2025 17:00,MAGEN,58.0,59.2,57.45,59.2,348509.0,0.0,1.2,0.1,1100.0,1.2,166975.9,108.72,0.0,True,65.73,0.43,0.01,0.42,2025-09-23,58.55,1.11,0,,55.95,ATH,False,False
23-09-2025 16:00,AYDEM,19.85,19.94,19.82,19.92,487796.0,0.02,0.07,0.0,3400.0,0.07,315689.6,54.52,0.29,True,65.01,0.21,-0.02,0.23,2025-09-23,20.02,-0.5,0,,18.65,20.04,False,False
23-09-2025 15:00,KLRHO,118.6,122.9,118.0,122.2,1943113.0,0.7,3.6,0.16,2150.0,3.6,1201715.2,61.69,0.19,True,71.04,3.98,-0.31,4.3,2025-09-23,113.9,7.29,0,,110.1,123.9,False,False
23-09-2025 15:00,AZTEK,61.7,64.9,61.45,64.5,1602459.0,0.4,2.8,0.19,1373.68,2.8,946046.5,69.38,0.14,True,78.03,2.54,-0.0,2.55,2025-09-23,60.3,6.97,0,,51.4,65.45,False,False
