Hisse,Kapanis,Deg%,Sinyal1,Sinyal2,Sinyal3,Sinyal4,Komp_Kapanis,EmaKesisim_Up,RsiX50,Rsi_Durum,Macd_K,MACD_Status,MfiX50,Mfi_Durum
A1CAP,26.78,3.0,-,+,-,-,0.27,89,False,+,False,+,False,+
ADGYO,33.08,0.24,-,+,-,-,0.33,"34,55,89,144",False,+,False,+,False,+
AFYON,14.88,-0.53,-,+,-,-,0.15,"21,233",False,+,False,+,+,+
AGESA,159.9,3.36,-,-,-,+,1.62,,False,+,+,+,False,+
AHGAZ,21.22,5.36,+,+,+,+,0.21,"13,21,34",+,+,+,+,+,+
AKENR,13.37,9.95,-,+,-,+,0.14,"89,144",False,+,False,+,False,+
AKSA,12.13,0.83,-,-,-,+,0.12,,False,+,False,+,False,+
AKSEN,38.86,0.67,-,+,-,+,0.39,233,False,+,False,+,False,+
ALKA,9.28,6.06,-,-,-,+,0.09,,False,+,False,+,False,+
ALKIM,19.39,4.42,-,-,-,+,0.2,,False,+,False,+,False,+
ALKLC,34.98,-1.46,-,-,-,+,0.33,,False,+,False,+,False,+
ALMAD,7.47,0.81,-,+,-,-,0.08,"13,21,34,55,89",False,+,False,+,False,+
ANELE,15.68,5.23,-,+,-,+,0.16,"13,21,34,55,89,144,233",False,+,False,+,False,+
ANHYT,103.3,-1.15,-,-,-,+,1.04,,False,+,False,+,False,+
ANSGR,105.1,4.06,-,+,+,+,1.06,13,False,+,+,+,False,+
ARASE,54.9,3.49,+,+,+,-,0.56,"13,21,34",+,+,+,+,False,-
ASELS,73.2,-1.01,-,-,-,+,0.74,,False,+,False,+,False,+
ASTOR,115.6,0.26,-,-,-,+,1.17,,False,+,False,+,False,+
ATAKP,48.1,2.78,-,+,-,-,0.49,"21,34,55,89",False,+,False,+,False,+
ATATP,109.9,9.95,-,+,+,-,1.11,"89,144",False,+,+,+,False,+
ATLAS,7.0,-0.57,-,-,-,+,0.07,,False,+,False,+,False,+
ATSYH,46.02,9.99,+,+,+,-,0.47,"13,21,34",+,+,+,+,False,+
AYCES,524.5,0.77,-,+,+,-,5.3,"13,21,34,55",False,+,+,+,False,+
AYEN,31.24,3.51,+,+,+,+,0.32,"13,21,34,55,89,144,233",+,+,+,+,False,+
BEGYO,6.87,4.57,-,-,-,+,0.07,,False,+,False,+,False,+
BIOEN,17.63,0.57,-,+,-,-,0.18,"13,21",False,+,False,+,False,+
BIZIM,29.32,1.31,-,+,-,-,0.3,"13,21,34",+,+,False,+,False,-
BNTAS,12.17,-1.85,-,-,-,+,0.12,,False,+,False,+,False,+
BORLS,69.45,2.13,-,-,-,+,0.7,,False,+,False,+,False,+
BRKO,11.74,-6.08,-,-,-,+,0.12,,False,+,False,+,False,+
BTCIM,140.4,-0.5,-,+,-,-,1.42,13,+,+,False,+,+,+
BUCIM,8.78,0.23,-,-,-,+,0.09,,False,+,False,+,False,+
CASA,85.0,4.74,-,+,+,-,0.86,"13,21,34,55",False,+,+,+,+,+
CEMTS,9.51,3.59,-,+,+,-,0.1,"55,89",False,+,+,+,+,+
CIMSA,46.36,-0.22,-,-,-,+,0.47,,False,+,False,+,False,+
CONSE,2.86,4.76,-,+,+,-,0.03,"34,55,89",False,+,+,+,+,+
CUSAN,27.92,-0.21,-,-,-,+,0.28,,False,+,False,+,False,+
DAGI,17.2,3.06,-,-,-,+,0.17,,False,+,False,+,False,+
DERHL,18.09,-1.31,-,-,-,+,0.18,,False,+,False,+,False,+
DERIM,38.74,3.31,-,-,-,+,0.39,,False,+,False,+,False,+
DESA,21.64,1.31,-,+,+,-,0.22,"21,34",False,+,+,+,False,+
DEVA,78.5,1.88,-,+,+,+,0.79,233,False,+,+,+,False,+
DGATE,45.72,3.58,-,-,-,+,0.46,,False,+,False,+,False,+
DGNMO,10.25,7.22,-,+,-,-,0.1,"89,144",False,+,False,+,False,+
DMSAS,8.3,4.01,-,-,-,+,0.08,,False,+,False,+,False,+
DOCO,6622.5,1.18,-,-,-,+,66.96,,False,+,+,+,False,+
DOKTA,25.96,1.17,-,+,-,-,0.26,"13,21,34,55",False,+,False,+,False,+
EBEBK,62.1,3.07,-,-,-,+,0.63,,False,+,+,+,False,+
EFORC,56.15,3.6,-,-,-,+,0.54,,False,+,False,+,False,+
EGGUB,66.4,4.98,-,-,-,+,0.67,,False,+,False,+,False,+
EKOS,25.58,0.71,-,+,+,-,0.26,"13,21",False,+,+,+,False,+
EKSUN,6.59,0.0,-,+,-,-,0.07,"13,89",False,+,False,+,False,+
EMKEL,14.16,4.5,-,+,-,-,0.14,144,False,+,False,+,False,+
ENJSA,62.6,1.13,+,+,+,-,0.63,"34,55,89,144,233",+,+,+,+,False,-
EPLAS,6.13,0.66,-,+,+,-,0.06,144,False,+,+,+,False,+
ERBOS,190.1,0.9,-,+,-,-,1.92,"13,21",False,+,False,+,False,+
ESCAR,46.3,1.4,-,-,-,+,0.47,,False,+,+,+,+,+
ESEN,23.6,1.81,-,-,-,+,0.24,,False,+,False,+,False,+
ETYAT,12.4,1.64,-,+,-,-,0.13,"13,21,34,55,89",False,+,False,+,False,+
EUREN,4.9,0.41,-,+,-,-,0.05,144,False,+,False,+,+,+
EUYO,14.99,7.22,-,-,-,+,0.15,,False,+,False,+,False,+
FENER,48.2,4.24,-,+,-,-,0.49,55,False,+,False,+,False,+
FONET,16.9,3.68,+,+,+,-,0.17,13,+,+,+,+,+,+
FORMT,7.51,0.81,-,-,-,+,0.08,,False,+,False,+,False,+
GARFA,20.3,2.53,+,+,+,-,0.21,"13,21,34",+,+,+,+,+,+
GEDIK,8.41,3.06,-,-,-,+,0.09,,False,+,False,+,False,+
GEDZA,28.2,0.36,-,-,-,+,0.29,,False,+,False,+,False,+
GEREL,10.17,6.6,-,+,-,-,0.1,"34,55",False,+,False,+,False,+
GIPTA,43.2,2.66,-,-,-,+,0.44,,False,+,False,+,False,+
GLYHO,17.41,-1.86,-,-,-,+,0.18,,False,+,False,+,False,+
GMTAS,10.62,1.34,-,+,+,+,0.11,"13,21,34",False,+,+,+,False,+
GOODY,19.39,-1.82,-,-,-,+,0.2,,False,+,False,+,False,+
GWIND,33.34,7.2,-,-,-,+,0.34,,False,+,+,+,False,+
HEDEF,3.23,2.22,-,+,-,-,0.03,"13,21,34",+,+,False,+,False,-
HTTBT,50.95,4.41,-,-,-,+,0.52,,False,+,False,+,False,+
HUNER,3.88,9.92,-,+,+,+,0.04,"144,233",False,+,+,+,False,+
INDES,7.51,0.54,-,+,-,-,0.08,144,False,+,False,+,False,+
INTEK,474.75,4.74,+,+,+,-,4.8,13,+,+,+,+,+,+
INVEO,7.51,2.46,+,+,+,-,0.08,"13,21",+,+,+,+,False,-
ISBIR,108.0,0.0,-,+,-,-,1.09,"13,21",False,+,False,+,False,+
ISFIN,13.48,1.13,-,-,-,+,0.14,,False,+,False,+,False,+
ISKPL,19.41,1.89,-,-,-,+,0.2,,False,+,False,+,False,+
KERVN,2.2,-2.22,-,-,-,+,0.02,,False,+,False,+,False,+
KFEIN,86.5,2.13,-,+,-,-,0.87,13,+,+,False,+,False,+
